Minute
34
95
88
67
13
80
74
89
60
4
44
87
9
8
54
58
58
46
21
76
63
90
12
68
90
14
87
38
45
59
74
23
19
73
82
10
39
84
58
85
47
50
58
77
34
12
45
88
68
76
44
49
28
5
34
62
51
59
76
41
68
82
88
34
35
93
10
58
90
22
87
45
14
81
48
70
88
92
69
88
10
12
45
56
41
76
8
19
79
16
39
9
53
3
24
32
26
25
59
69
14
30
3
43
3
88
46
89
65
73
43
68
60
49
22
11
80
6
57
68
11
61
17
35
90
27
89
1
75
2
58
64
84
5
80
50
35
39
69
71
18
78
59
6
29
13
36
23
26
77
25
89
26
56
71
21
28
4
89
45
50
13
15
26
47
55
82
86
76
30
62
91
70
81
72
86
49
43
44
71
73
11
57
10
45
79
60
22
20
42
50
67
76
87
70
50
82
103
30
64
70
76
23
57
91
22
90
4
76
20
23
70
86
59
39
51
84
25
24
28
38
25
69
23
55
58
79
24
82
65
74
10
41
86
89
11
46
67
68
48
45
50
57
6
28
53
23
52
73
55
94
61
32
55
37
70
26
75
24
67
82
74
73
6
14
19
49
81
18
55
19
25
53
90
69
23
44
84
42
79
81
22
66
67
38
22
73
20
16
13
87
45
67
70
2
24
87
35
41
62
65
72
26
46
59
30
12
57
69
61
71
52
38
9
84
8
92
2
68
43
32
70
26
14
45
64
63
66
90
34
90
51
96
21
65
94
91
4
29
31
60
71
3
48
52
12
27
76
3
48
40
82
90
22
10
57
6
15
52
89
82
11
23
22
74
55
14
15
57
6
52
34
90
90
120
30
49
90
25
31
29
41
78
28
32
80
90
40
25
3
55
89
13
61
23
35
2
83
43
83
35
36
65
81
20
81
89
14
54
63
79
26
69
52
25
45
31
30
36
38
54
90
68
21
92
36
37
69
27
23
59
83
91
13
32
34
7
17
20
62
81
56
64
82
29
90
30
8
14
18
70
82
38
39
47
50
59
30
54
42
68
9
18
12
45
82
3
87
57
33
34
50
58
64
76
64
64
85
19
16
17
77
92
26
59
8
25
6
89
17
78
17
33
88
23
71
77
5
18
93
60
97
104
27
67
62
51
24
44
74
86
89
41
47
77
76
105
109
27
10
73
86
23
78
10
48
2
20
64
80
12
51
49
79
85
43
80
49
54
76
12
23
31
53
53
78
84
16
38
27
37
80
45
83
65
44
61
46
78
51
33
84
11
47
64
91
3
64
53
97
87
14
32
50
65
81
37
18
54
70
65
81
29
79
70
78
2
65
61
88
36
66
70
63
27
49
86
45
28
62
84
62
49
78
89
19
96
68
25
75
9
37
45
49
67
82
10
43
58
26
90
40
80
65
91
39
23
62
56
61
53
55
90
51
54
52
43
60
88
44
69
59
76
15
38
42
35
57
13
52
78
89
26
48
31
70
92
64
26
35
13
38
46
49
89
10
25
32
79
13
83
89
45
24
47
62
13
35
95
81
39
46
91
78
52
70
75
35
51
12
38
81
7
32
76
34
62
61
39
44
81
93
21
40
53
61
18
23
44
78
